name,title,about,local_page,image,link
Mario E. Rossi,President and Principal Geostatistician,Audits; Resource Estimations; Conditional Simulations; Grade Control;,,mario-rossi.png,/personnel/mario-rossi/resume.pdf
Ariana Carrazana,Senior Geologist,Exploration and Mine Geologist; QA/QC programs and databases,ari-carrazana,ari-carrazana.png,https://www.linkedin.com/profile/public-profile-settings?trk=prof-edit-edit-public_profile/
Centre for Computational Geostatistics,"University of Alberta, Edmonton","Software development; geostatistical modeling, mining, petroleum, environmental",,ccg.png,http://www.ccgalberta.com/
David Tutton,Principal Mining Engineer,"Independent Adviser, Mining",,,/personnel/david-tutton/resume.pdf
"Inti Mining Smart Solutions, SAC (IMSS)",Strategic Mining Engineering Services,Strategic Mine Planning and Design,,imss.png,http://www.imss.com.pe/
Jose Bassan,Senior Geologist,Exploration and Mine Geology; Resource Estimation; MineSight specialist,,,/personnel/jose-bassan/resume.pdf
Julio Bruna,Principal Geologist,Project Manager; Exploration and Mine Geology; Geologic Programs and Models; Resource Estimation,,julio-bruna.jpg,/personnel/julio-bruna/resume.pdf
Orestes Gomez Gonzalez,Senior Geologist and Geostatistician,Resource Estimates and Audits; Exploration Geology; Database and Modeling; Datamine Specialist,,orestes-gomez-gonzalez.png,/personnel/orestes-gomez-gonzales/resume.pdf
"Paul Satchwell, MTSI",Principal Mining Engineer/Project Manager,Project Management; Mining,,,/personnel/paul-satchwell/resume.pdf
Peter Brown,Principal Geologist,"Project Manager, Exploration Geology",,peter-brown.png,/personnel/peter-brown/resume.pdf
Timothy Strong,Resource Geologist,Resource Estimates and Audits; Exploration Geology; Database and Modeling; Datamine Specialist,,timothy-strong.jpg,/personnel/tim-strong/resume.pdf